GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Project,data,CmdIn,49,0,2,0,17,0,5,0,4,0
Project,data,InventorySet.RecordObj,59,34,0,0,12,11,3,6,3,6
Project,data,Data,147,0,28,0,30,0,23,0,9,0
Project,data,CmdClear,37,0,2,0,14,0,5,0,4,0
Project,data,CmdOut,49,0,2,0,17,0,5,0,4,0
Project,data,VideoObj,97,117,19,23,19,25,14,15,2,6
Project,data,CmdAdd,59,0,2,0,19,0,5,0,4,0
Project,data,InventorySet,56,299,5,21,15,43,7,19,4,9
Project,ui,PopupUI,110,0,8,0,27,0,9,0,5,0
Project,ui,UIFactory,31,0,5,0,7,0,6,0,2,0
Project,ui,GenericPair,26,0,4,0,8,0,3,0,1,0
Project,ui,UIBuilderAux,52,0,6,0,11,0,5,0,2,0
Project,ui,UIFormMenu,31,0,2,0,8,0,4,0,3,0
Project,ui,UIError,3,0,0,0,1,0,1,0,1,0
Project,ui,UIFormMenuAux,22,0,0,0,7,0,4,0,4,0
Project,ui,TextUI,126,0,10,0,34,0,11,0,6,0
Project,ui,UIFormMenuBuilder,30,0,2,0,8,0,4,0,3,0
Project,main,MenuAction,184,0,0,0,18,0,3,0,3,0
Project,main,MenuAction.new UIMenuAction() {...},64,0,6,0,15,0,5,0,2,0
Project,main,MenuAction.new UIMenuAction() {...},238,0,0,0,28,0,2,0,2,0
Project,main,MenuAction.new UIMenuAction() {...},7,0,0,0,3,0,2,0,2,0
Project,main,MenuAction.new UIMenuAction() {...},7,0,0,0,3,0,2,0,2,0
Project,main,MenuAction.new UIMenuAction() {...},7,0,0,0,3,0,2,0,2,0
Project,main,MenuAction.9.new Comparator() {...},12,0,0,0,2,0,2,0,2,0
Project,main,Control.new UIMenuAction() {...},7,0,0,0,1,0,2,0,2,0
Project,main,MenuAction.new UIMenuAction() {...},30,0,2,0,7,0,3,0,2,0
Project,main,MenuAction.new UIMenuAction() {...},30,0,2,0,7,0,3,0,2,0
Project,main,MenuAction.new UIMenuAction() {...},51,0,2,0,10,0,3,0,2,0
Project,main,MenuAction.new UIMenuAction() {...},7,0,0,0,3,0,2,0,2,0
Project,main,MenuAction.new UIMenuAction() {...},11,0,2,0,4,0,3,0,2,0
Project,main,State,59,0,0,0,9,0,3,0,3,0
Project,main,MenuAction.new UIMenuAction() {...},11,0,2,0,4,0,3,0,2,0
Project,main,MenuAction.new UIMenuAction() {...},11,0,2,0,4,0,3,0,2,0
Project,main,MenuAction.new UIMenuAction() {...},8,0,0,0,3,0,2,0,2,0
Project,main,FormTest,81,0,6,0,17,0,9,0,6,0
Project,main,Main,65,0,8,0,15,0,5,0,1,0
Project,main,Control,175,0,2,0,43,0,6,0,5,0
Project,command,CommandHistoryObj.new RerunnableCommand() {...},28,6,4,0,6,1,3,1,1,1
Project,command,CommandHistoryObj.new RerunnableCommand() {...},28,6,4,0,6,1,3,1,1,1
Project,command,CommandHistoryFactory,0,4,0,0,0,1,0,1,0,1
Project,command,CommandHistoryObj,37,25,4,0,11,5,7,1,5,1
